Weekly_Sales_sum,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,week_nbr,Size,Type_A,Type_B,Type_C
1650399.0,1,2010-02-05,42.31,2.572,211.0963582,8.106,False,1,151315,1,0,0
1675305.3699999996,1,2010-02-12,38.51,2.548,211.24216980000003,8.106,True,2,151315,1,0,0
1644421.1099999999,1,2010-02-19,39.93,2.514,211.2891429,8.106,False,3,151315,1,0,0
1442911.4900000002,1,2010-02-26,46.63,2.5610000000000004,211.3196429,8.106,False,4,151315,1,0,0
1586448.75,1,2010-03-05,46.5,2.625,211.3501429,8.106,False,5,151315,1,0,0
1471583.2600000005,1,2010-03-12,57.79,2.667,211.3806429,8.106,False,6,151315,1,0,0
1502353.5599999998,1,2010-03-19,54.58,2.72,211.215635,8.106,False,7,151315,1,0,0
1433157.1600000004,1,2010-03-26,51.45,2.732,211.0180424,8.106,False,8,151315,1,0,0
1621507.9599999997,1,2010-04-02,62.27,2.719,210.8204499,7.808,False,9,151315,1,0,0
1573567.2600000005,1,2010-04-09,65.86,2.77,210.6228574,7.808,False,10,151315,1,0,0
1500653.0,1,2010-04-16,66.32,2.8080000000000003,210.4887,7.808,False,11,151315,1,0,0
1417474.83,1,2010-04-23,64.84,2.795,210.4391228,7.808,False,12,151315,1,0,0
1456273.7600000002,1,2010-04-30,67.41,2.78,210.3895456,7.808,False,13,151315,1,0,0
1633737.93,1,2010-05-07,72.55,2.835,210.3399684,7.808,False,14,151315,1,0,0
1519948.4000000001,1,2010-05-14,74.78,2.854,210.3374261,7.808,False,15,151315,1,0,0
1431363.0600000003,1,2010-05-21,76.44,2.826,210.6170934,7.808,False,16,151315,1,0,0
1464179.7200000002,1,2010-05-28,80.44,2.759,210.8967606,7.808,False,17,151315,1,0,0
1643909.8299999998,1,2010-06-04,80.69,2.705,211.1764278,7.808,False,18,151315,1,0,0
1570390.42,1,2010-06-11,80.43,2.668,211.4560951,7.808,False,19,151315,1,0,0
1533382.8499999999,1,2010-06-18,84.11,2.637,211.4537719,7.808,False,20,151315,1,0,0
1450440.6599999997,1,2010-06-25,84.34,2.653,211.3386526,7.808,False,21,151315,1,0,0
1525846.5599999994,1,2010-07-02,80.91,2.669,211.2235333,7.787000000000001,False,22,151315,1,0,0
1539850.9199999997,1,2010-07-09,80.48,2.642,211.108414,7.787000000000001,False,23,151315,1,0,0
1450822.28,1,2010-07-16,83.15,2.623,211.1003854,7.787000000000001,False,24,151315,1,0,0
1387482.8700000003,1,2010-07-23,83.36,2.608,211.2351443,7.787000000000001,False,25,151315,1,0,0
1397586.85,1,2010-07-30,81.84,2.64,211.36990319999995,7.787000000000001,False,26,151315,1,0,0
1619397.3399999999,1,2010-08-06,87.16,2.627,211.5046621,7.787000000000001,False,27,151315,1,0,0
1507677.8300000005,1,2010-08-13,87.0,2.692,211.6394211,7.787000000000001,False,28,151315,1,0,0
1519958.9000000001,1,2010-08-20,86.65,2.664,211.6033633,7.787000000000001,False,29,151315,1,0,0
1480571.1200000006,1,2010-08-27,85.22,2.619,211.5673056,7.787000000000001,False,30,151315,1,0,0
1592761.5499999998,1,2010-09-03,81.21,2.577,211.53124790000004,7.787000000000001,False,31,151315,1,0,0
1551425.6400000004,1,2010-09-10,78.69,2.565,211.4951902,7.787000000000001,True,32,151315,1,0,0
1468399.65,1,2010-09-17,82.11,2.582,211.5224596,7.787000000000001,False,33,151315,1,0,0
1370852.42,1,2010-09-24,80.94,2.624,211.5972246,7.787000000000001,False,34,151315,1,0,0
1472993.5199999998,1,2010-10-01,71.89,2.603,211.6719895,7.837999999999999,False,35,151315,1,0,0
1514230.36,1,2010-10-08,63.93,2.633,211.7467544,7.837999999999999,False,36,151315,1,0,0
1451766.4999999995,1,2010-10-15,67.18,2.72,211.8137436,7.837999999999999,False,37,151315,1,0,0
